Dado 1;Dado 2;Dado 3;;;;;;;;;;;
-18.703176;12.801937;-3.6045392;;;;;;;;;;;
-19.261124;12.484431;-3.439457;;;;;;;;;;;
-19.818241;12.1673975;-3.27462;;;;;;;;;;;
-19.649107;12.065713;-3.2738514;;;;;;;;;;;
-19.480225;11.96418;-3.273084;;;;;;;;;;;
-19.87656;11.811322;-3.174276;;;;;;;;;;;
-20.272306;11.658691;-3.075615;;;;;;;;;;;
-19.988468;11.580625;-2.9794848;;;;;;;;;;;
-19.70505;11.502674;-2.8834972;;;;;;;;;;;
-19.572832;11.5694475;-2.8352005;;;;;;;;;;;
-19.440811;11.636122;-2.7869754;;;;;;;;;;;
-19.308987;11.702697;-2.738822;;;;;;;;;;;
-18.91942;11.955579;-2.8475506;;;;;;;;;;;
-18.530432;12.208084;-2.9561179;;;;;;;;;;;
-16.281473;13.175541;-3.1624253;;;;;;;;;;;
-14.035855;14.141561;-3.368426;;;;;;;;;;;
-11.393411;14.796451;-3.7042823;;;;;;;;;;;
-8.75489;15.450369;-4.03964;;;;;;;;;;;
-6.12029;16.103315;-4.3744993;;;;;;;;;;;
-2.7870405;17.02291;-4.633682;;;;;;;;;;;
0.5412582;17.941137;-4.8924794;;;;;;;;;;;
3.1808462;18.731346;-5.025921;;;;;;;;;;;
5.8165135;19.52038;-5.1591644;;;;;;;;;;;
7.986531;20.09042;-5.3006253;;;;;;;;;;;
10.153325;20.659613;-5.4418764;;;;;;;;;;;
12.573296;21.176765;-5.384169;;;;;;;;;;;
14.989672;21.69315;-5.3265476;;;;;;;;;;;
17.40246;22.208767;-5.2690115;;;;;;;;;;;
20.031311;22.628523;-5.0805583;;;;;;;;;;;
22.656256;23.047655;-4.892385;;;;;;;;;;;
24.944044;23.25325;-4.627208;;;;;;;;;;;
27.228436;23.45854;-4.362425;;;;;;;;;;;
30.353098;23.951899;-4.1331;;;;;;;;;;;
33.473118;24.444525;-3.904116;;;;;;;;;;;
36.588505;24.936419;-3.6754718;;;;;;;;;;;
39.845135;25.355629;-3.4330008;;;;;;;;;;;
43.096928;25.774218;-3.1908903;;;;;;;;;;;
47.258663;26.178577;-2.8332846;;;;;;;;;;;
