sep=,
Dado 1,Dado 2,Dado 3
-3.2747707,0.68780345,-0.5246387
-3.315919,0.6789727,-0.5071197
-3.3568754,0.6701832,-0.4896824
-3.4970121,0.6890725,-0.49821424
-3.6367855,0.7079129,-0.506724
-3.7761683,0.72670054,-0.5152099
-3.7478986,0.7024685,-0.49742696
-3.7197714,0.67835814,-0.47973326
-3.6519692,0.6920049,-0.4756743
-3.5844884,0.70558697,-0.47163457
-3.517321,0.7191061,-0.46761358
-3.5803874,0.7247378,-0.47818452
-3.643292,0.7303552,-0.4887283
-3.6554482,0.7430705,-0.48408732
-3.6675458,0.75572383,-0.4794689
-3.6038663,0.76122296,-0.4713955
-3.540361,0.7667071,-0.46334407
-3.4770396,0.77217525,-0.45531607
-3.4536307,0.7898086,-0.4565089
-3.4303412,0.80735224,-0.45769566
-3.4303327,0.8146741,-0.46212882
-3.4303243,0.8219608,-0.46654078
-3.4563503,0.82993674,-0.46984926
-3.4822574,0.8378761,-0.47314256
-3.4947786,0.8429239,-0.47031364
-3.507274,0.84796125,-0.46749052
-3.5634751,0.855846,-0.4689026
-3.6193974,0.8636917,-0.47030762
-3.6750495,0.8714995,-0.4717059
-3.6790857,0.8698677,-0.47201455
-3.683104,0.86824346,-0.47232175
